elapsed_s,phase,readings_total
0,normal,0
5,normal,0
10,normal,0
15,disconnected,0
20,disconnected,0
25,disconnected,0
30,disconnected,0
35,disconnected,0
40,disconnected,0
45,recovering,0
50,recovering,0
55,recovering,0
60,recovering,0
65,recovering,0
70,recovering,0
75,recovering,0
80,recovering,0
85,recovering,0
90,recovering,0
