elapsed_s,phase,readings_total
0,normal,0
5,normal,5001
10,normal,15001
15,disconnected,24501
20,disconnected,35001
25,disconnected,43001
30,disconnected,53001
35,disconnected,61501
40,disconnected,73001
45,recovering,84501
50,recovering,94001
55,recovering,94237
60,recovering,94237
65,recovering,94237
70,recovering,95338
75,recovering,95457
80,recovering,95557
85,recovering,95670
90,recovering,95717
