elapsed_s,phase,readings_total
0,normal,0
5,normal,80
10,normal,180
15,disconnected,280
20,disconnected,300
25,disconnected,300
30,disconnected,300
35,disconnected,300
40,disconnected,300
45,recovering,300
50,recovering,300
55,recovering,300
60,recovering,300
65,recovering,300
70,recovering,460
75,recovering,580
80,recovering,680
85,recovering,780
90,recovering,820
