broker,qos_or_acks,devices,interval_ms,duration_s,expected_msgs,received_db,loss_pct,throughput_msgs_per_s
kafka,-1,100,1000,30,3000,2901,3.30,96.70
kafka,-1,1000,1000,30,30000,29000,3.33,966.67
kafka,-1,10000,1000,30,300000,82501,72.50,2750.03
