timestamp,container,cpu_perc,mem_usage,mem_perc,net_io
2026-06-14T13:40:35,project-two-ingestion,1.02%,47.86MiB / 14.99GiB,0.31%,11.1kB / 41.9kB
2026-06-14T13:40:35,project-two-storage,59.07%,37.75MiB / 14.99GiB,0.25%,407kB / 37.2kB
2026-06-14T13:40:35,project-two-analytics,0.82%,48.96MiB / 14.99GiB,0.32%,41.5kB / 5.06kB
2026-06-14T13:40:35,project-two-mosquitto,0.35%,5.027MiB / 14.99GiB,0.03%,1.12GB / 1.51GB
2026-06-14T13:40:39,project-two-ingestion,9.33%,40.36MiB / 14.99GiB,0.26%,21.3kB / 103kB
2026-06-14T13:40:39,project-two-storage,3.91%,40.6MiB / 14.99GiB,0.26%,488kB / 133kB
2026-06-14T13:40:39,project-two-analytics,7.41%,41.65MiB / 14.99GiB,0.27%,119kB / 14.1kB
2026-06-14T13:40:39,project-two-mosquitto,0.40%,5.391MiB / 14.99GiB,0.04%,1.12GB / 1.51GB
2026-06-14T13:40:43,project-two-ingestion,2.76%,42.04MiB / 14.99GiB,0.27%,38.3kB / 204kB
2026-06-14T13:40:43,project-two-storage,2.19%,40.47MiB / 14.99GiB,0.26%,568kB / 229kB
2026-06-14T13:40:43,project-two-analytics,0.49%,41.21MiB / 14.99GiB,0.27%,195kB / 22.5kB
2026-06-14T13:40:43,project-two-mosquitto,0.34%,5.148MiB / 14.99GiB,0.03%,1.12GB / 1.51GB
2026-06-14T13:40:47,project-two-ingestion,0.63%,41.8MiB / 14.99GiB,0.27%,50.8kB / 284kB
2026-06-14T13:40:47,project-two-storage,3.49%,41.85MiB / 14.99GiB,0.27%,648kB / 325kB
2026-06-14T13:40:47,project-two-analytics,1.37%,41.35MiB / 14.99GiB,0.27%,272kB / 30kB
2026-06-14T13:40:47,project-two-mosquitto,0.33%,4.637MiB / 14.99GiB,0.03%,1.12GB / 1.52GB
2026-06-14T13:40:51,project-two-ingestion,61.76%,50.19MiB / 14.99GiB,0.33%,266kB / 1.68MB
2026-06-14T13:40:51,project-two-storage,0.23%,41.32MiB / 14.99GiB,0.27%,649kB / 346kB
2026-06-14T13:40:51,project-two-analytics,49.06%,44.23MiB / 14.99GiB,0.29%,1.61MB / 181kB
2026-06-14T13:40:51,project-two-mosquitto,14.91%,5.262MiB / 14.99GiB,0.03%,1.12GB / 1.52GB
2026-06-14T13:40:55,project-two-ingestion,37.09%,72.23MiB / 14.99GiB,0.47%,1.47MB / 9.62MB
2026-06-14T13:40:55,project-two-storage,23.23%,79.26MiB / 14.99GiB,0.52%,6.42MB / 5.05MB
2026-06-14T13:40:55,project-two-analytics,28.34%,50.78MiB / 14.99GiB,0.33%,7.32MB / 789kB
2026-06-14T13:40:55,project-two-mosquitto,18.38%,13.2MiB / 14.99GiB,0.09%,1.13GB / 1.53GB
2026-06-14T13:40:59,project-two-ingestion,36.29%,76.11MiB / 14.99GiB,0.50%,2.4MB / 15.7MB
2026-06-14T13:40:59,project-two-storage,15.70%,79.98MiB / 14.99GiB,0.52%,9.15MB / 8.24MB
2026-06-14T13:40:59,project-two-analytics,33.26%,60.55MiB / 14.99GiB,0.39%,16.9MB / 1.89MB
2026-06-14T13:40:59,project-two-mosquitto,20.34%,13.45MiB / 14.99GiB,0.09%,1.14GB / 1.54GB
2026-06-14T13:41:03,project-two-ingestion,0.04%,75.1MiB / 14.99GiB,0.49%,3.06MB / 19.9MB
2026-06-14T13:41:03,project-two-storage,36.60%,81.1MiB / 14.99GiB,0.53%,11.6MB / 11.2MB
2026-06-14T13:41:03,project-two-analytics,0.00%,62.38MiB / 14.99GiB,0.41%,19.1MB / 2.15MB
2026-06-14T13:41:03,project-two-mosquitto,7.11%,10.43MiB / 14.99GiB,0.07%,1.14GB / 1.55GB
2026-06-14T13:41:07,project-two-ingestion,0.00%,75.07MiB / 14.99GiB,0.49%,3.06MB / 19.9MB
2026-06-14T13:41:07,project-two-storage,2.90%,80.72MiB / 14.99GiB,0.53%,14.1MB / 14.7MB
2026-06-14T13:41:07,project-two-analytics,0.00%,62.38MiB / 14.99GiB,0.41%,19.1MB / 2.15MB
2026-06-14T13:41:07,project-two-mosquitto,0.03%,4.371MiB / 14.99GiB,0.03%,1.14GB / 1.55GB
2026-06-14T13:41:11,project-two-ingestion,0.00%,75.07MiB / 14.99GiB,0.49%,3.06MB / 19.9MB
2026-06-14T13:41:11,project-two-storage,0.27%,80.89MiB / 14.99GiB,0.53%,14.1MB / 15.9MB
2026-06-14T13:41:11,project-two-analytics,0.02%,62.38MiB / 14.99GiB,0.41%,19.1MB / 2.15MB
